	variance	length1	length2	noise_variance	pearsonr	spearmanrho	sMSE
AT2_18M_F10 chrm19	1.9818588523177856	1622.1307523662626	4.164400453762628	0.7855776942569813	"[[0.39272649]
 [0.26323199]]"	[0.3972028  0.29006047]	1.2325402070969438
AT2_18M_F10 chrm20	1.09836340672722	2.7399731332733395	1.6915396239466822	0.6892854557118164	"[[0.50403381]
 [0.16568579]]"	[0.44340659 0.22038536]	0.9090352352355898
AM_04M_F0	1.7573417880350983	5.388295853546084	1.4424992469450555	0.6724255592950141	"[[5.65538151e-01]
 [7.94311499e-27]]"	[5.21835448e-01 9.01296079e-23]	0.6825054801870253
AM_04M_F0 chrm1	1.827829095990077	5.354771725233226	0.6577082453836446	0.6119154370692994	"[[0.51783154]
 [0.08006623]]"	[0.44462748 0.15872987]	0.7831280327524863
AM_04M_F0 chrm2	1.6884899949815577	4.9126340943621765	3.409657588417317	0.7126289199134079	"[[0.48672874]
 [0.03457256]]"	[0.43782704 0.05432932]	0.8375501165710932
AM_04M_F0 chrm3	1.3570760622916314	3.455555797983507	3.2992711699714627	0.724233449831793	"[[0.49480224]
 [0.12314856]]"	[0.48311404 0.11640687]	0.8456974294346431
AM_04M_F0 chrm4	1.796972743590473	5.139448272566245	2.1911349386615817	0.5944728368287548	"[[0.60915555]
 [0.00908949]]"	[0.52102202 0.08926092]	0.7028530736608423
AM_04M_F0 chrm5	3.391355019454467	4.281443122770626	3.8330332534589813	0.5773152190573118	"[[0.61140187]
 [0.04018591]]"	[0.58594015 0.1002538 ]	0.6305570544351078
AM_04M_F0 chrm6	0.6695570488576835	2.620896088595488	1.098382140796184	0.5648697744969488	"[[0.61736096]
 [0.05231985]]"	[0.62252322 0.04978915]	0.6687065277969124
AM_04M_F0 chrm7	1.1615488760871024	4.70941865595862	2.857511357842896	0.6555997401132123	"[[0.58760429]
 [0.01793551]]"	[0.58116239 0.05628952]	0.7147207925529663
AM_04M_F0 chrm8	0.9766842806233443	2.905802144337824	2.2960793558855217	0.6877660929100451	"[[0.51808551]
 [0.11591958]]"	[0.46172932 0.13432849]	0.7929515103492186
AM_04M_F0 chrm9	4.541014689320968	9.028053610770215	4.082377752046625	0.5502796802693827	"[[0.65776496]
 [0.02889765]]"	[0.57584416 0.03509949]	0.6532393168779966
AM_04M_F0 chrm10	7.26038779806507	8.248678842767942	5.7365065810940425	0.6041518424228789	"[[0.61271147]
 [0.02425429]]"	[0.54955882 0.05149652]	0.6837140863336798
AM_04M_F0 chrm11	0.7462552598130988	3.0889575717265867	1.6696005167089438	0.641362431847468	"[[0.58803418]
 [0.00511114]]"	[0.54047831 0.00978355]	0.68611585667313
AM_04M_F0 chrm12	0.8330936015973711	2.9870193503882687	2.3639169251496632	0.7845085383991537	"[[0.44413654]
 [0.1706396 ]]"	[0.41615385 0.21396817]	1.0562727619686654
AM_04M_F0 chrm13	0.5068681927018289	2.327656647983569	2.121879497479694	0.8304253295293369	"[[0.29318802]
 [0.36625011]]"	[0.26768232 0.32859716]	1.1531870240314714
AM_04M_F0 chrm14	0.7003293160795667	2.0798105952517325	1.5464175950444286	0.7117485866266243	"[[0.38576493]
 [0.28127426]]"	[0.27362637 0.25488982]	1.0124170918339481
AM_04M_F0 chrm15	0.984037746650675	2.1521542317246576	2.12899289146379	0.6571897031767715	"[[0.53177056]
 [0.10239054]]"	[0.51901099 0.1123404 ]	0.9328794504901291
AM_04M_F0 chrm16	0.2836652076821825	1.8228569775647343	1.3152376094481844	0.8162699614355905	"[[0.39442636]
 [0.21221299]]"	[0.38086913 0.26747488]	1.0184790308164462
AM_04M_F0 chrm17	1.0701933530426908	4.821301823410645	2.620936151767906	0.765958082203303	"[[0.47645268]
 [0.14839563]]"	[0.43041796 0.19187571]	0.8690280081082357
AM_04M_F0 chrm18	1.011172994280097	2.833495674402056	1.6084385799904648	0.5768715832131506	"[[0.65501132]
 [0.1353655 ]]"	[0.52666667 0.24354786]	0.9310397826052299
AM_04M_F0 chrm19	0.8594493788504192	3.7329804960754673	1.4717146344714365	0.6400840373848539	"[[0.56553151]
 [0.04862049]]"	[0.41071429 0.22494678]	0.7693747737994724
AM_04M_F0 chrm20	4.405457532881757	8.302454878338368	3.0970582079480287	0.6033058374040952	"[[0.41073868]
 [0.19966523]]"	[0.34040959 0.29133287]	1.0074956388347118
